,business_id,Class,votes.cool,votes.funny,stars,votes.useful,10 minutes,15 minutes,20 minutes,30 minutes,bar food,beer selection_x,best ve,bloody mary_x,bottle service_x,chicken waffles_x,customer service_x,dance floor,decided try,definitely come,definitely recommend,didn want,don know,don like,don think,don want,eggs benedict_x,fast food_x,feel like_x,felt like,fish chips_x,food amazing_x,food came,food delicious,food good_x,food great_x,food just,food service_x,french fries,french toast_x,friday night,fried chicken_x,friendly staff_x,good food_x,good place_x,good service_x,good thing,good time,great atmosphere_x,great experience,great food_x,great place_x,great service_x,great time,happy hour_x,hash browns,highly recommend_x,hip hop,ice cream_x,just like,just ok,just right,las vegas_x,late night_x,like place,little bit,long time,looked like,looks like,love place_x,mac cheese_x,make sure_x,mashed potatoes,medium rare,minutes later,new york,onion rings_x,place good_x,place great_x,place just,potato fries_x,pretty good_x,quality food,really enjoyed,really good_x,really like,really nice,recommend place,red velvet_x,right away,saturday night,second time,service excellent,service food_x,service friendly,service good_x,service great_x,staff friendly_x,super friendly_x,sweet potato_x,tasted like,time vegas,try place,ve seen,ve tried,wait staff,Reviews,likes,24 hours,amazing food,animal style,awesome food,awesome place,awesome service,beef hash,best breakfast,best burger,best burgers,best place,carne asada,cheese fries,come early,cool place,corned beef,delicious food,don come,don forget,excellent food,excellent service,fast service,favorite place,food awesome,food drinks,free wifi,friendly service,gluten free,great beer,great breakfast,great burgers,great customer,great drinks,great happy,great prices,great spot,great staff,grilled cheese,guest list,happy birthday,live music,long wait,love food,love love,new favorite,nice place,nom nom,open 24,place awesome,place eat,prime rib,slow service,staff great,steak eggs,velvet pancakes,worth wait,target
1,--jFTZmywe7StuZ2hEjxyA,service,11,7,6,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
3,-0HGqwlfw3I8nkJyMHxAsQ,service,0,2,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
8,-1bOb2izeJBZjHC7NWxiPA,service,15,7,95,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,3,3,1,3,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4.31818181818
11,-2k6VTGx1M93hscEdhx37A,service,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
14,-3xbryp44xhpN4BohxXDdQ,service,1,2,128,7,0,0,0,1,0,1,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,4,0,0,1,2,0,2,5,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,1,5,3,1,9,2,1,2,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26666666667
18,-584fn2GxYe9sLsgN2WeQA,service,21,7,178,28,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,3,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,3,6,0,0,0,3,0,0,1,2,0,8,0,1,1,0,0,0,4,0,1,0,0,0,4,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,6,4,7,9,8,0,1,0,1,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.2380952381
21,-5RN56jH78MV2oquLV_G8g,service,53,33,306,95,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,2,1,3,1,0,0,2,1,0,18,1,0,0,3,0,0,0,0,0,10,0,1,1,1,2,0,0,0,6,0,0,0,0,0,1,2,0,0,2,0,2,2,0,1,0,0,1,0,0,18,13,1,8,10,4,0,0,5,1,0,0,0,11,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37142857143
23,-68mO1Tk9kVdHsprHFnhnQ,service,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
25,-7PWVPeSkUulZV0KrGysUQ,service,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
35,-ECyzH2a4YDOYGj3AN54Nw,service,2,1,9,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
39,-GZsHVDlI6wvLsgD1Yaj0g,service,26,26,80,41,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,0,4,0,2,1,3,2,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,1,3,5,2,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63636363636
41,-ILeXEbL98YCJ6Me82O7Rg,service,0,2,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333
44,-INZ6z5X6RrHdGhk4WoYtg,service,5,6,21,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
48,-K22CWorrReIV_kgLa6dmQ,service,28,29,137,40,0,2,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,4,0,1,0,1,0,4,8,3,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,1,2,2,7,5,0,2,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.80555555556
