company,title,summary
"


        McLaren
",Data Scientist,"
Data Scientists at McLaren Applied Technologies solve problems using innovative cutting-edge techniques. Complex data set in MATLAB, Python or R;..."
"

    Oliver Bernard
","Data Scientist - Python, Machine learning - Fintech","
Data Scientist (Python, Machine learning). Data Scientist - Python, Machine learning - Fintech. An exciting Fintech client are seeking a Data Scientist to work..."
"


        Facebook
","Data Scientist, Analytics","
The Data Scientist Analytics role has work across the following four areas:. Experience with large data sets and distributed computing (Hive/Hadoop) a plus...."
"

    Stratagem Technologies Limited
",Machine Learning Researcher,"
We are seeking talented and motivated data scientists with a background or experience in machine learning. We are looking for Masters/PhD level computational..."
"


        Vodafone
",Data Scientist,"
We are looking for an experience Data Scientist to work closely with the Lead Data Scientist to explore local OpCo Big Data Analytics opportunities as well as..."
"


        Imperial College London
",Research Associate in Statistical Machine Learning,"
Quantitative research methods, dimensionality reduction techniques, Bayesian data analysis, multilevel modelling, latent variable modelling and/or longitudinal..."
"


        Citi
",Mathematical Software Developer / Data Scientist,"
This role is for an experienced full-stack mathematical developer / Data Scientist to work on the FxRD iVentures team, part of FxRD Technology...."
"

    Mortimer Spinks (Manchester)
","Modelling, Algorithms, Statistics - Data Scientist - London","
Mathematical Modelling, Algorithms, Analytics, Statistics - Data Analyst/Scientist is required for this outstanding Digital and Data Consultancy based in London..."
"

    Colston Consulting
","Data Scientist, London, £30,000-£40,000","
Are you a recent graduate with a minimum 2 years' commercial experience working as a Data Scientist? Use coding to sale data analysis problems...."
"


        Sainsburys
",Data Scientist - Marketing Innovation,"
Sainsbury’s data, including customer data and transactional data. Curiosity, scepticism and attention to detail regarding data, data quality, samples, bias, etc..."
"


        McLaren
",Data Scientist,"
Data Scientists at McLaren Applied Technologies solve problems using innovative cutting-edge techniques. Complex data set in MATLAB, Python or R;..."
"

    Oliver Bernard
","Data Scientist - Python, Machine learning - Fintech","
Data Scientist (Python, Machine learning). Data Scientist - Python, Machine learning - Fintech. An exciting Fintech client are seeking a Data Scientist to work..."
"


        Facebook
","Data Scientist, Analytics","
The Data Scientist Analytics role has work across the following four areas:. Experience with large data sets and distributed computing (Hive/Hadoop) a plus...."
"

    Stratagem Technologies Limited
",Machine Learning Researcher,"
We are seeking talented and motivated data scientists with a background or experience in machine learning. We are looking for Masters/PhD level computational..."
"


        Vodafone
",Data Scientist,"
We are looking for an experience Data Scientist to work closely with the Lead Data Scientist to explore local OpCo Big Data Analytics opportunities as well as..."
"


        Imperial College London
",Research Associate in Statistical Machine Learning,"
Quantitative research methods, dimensionality reduction techniques, Bayesian data analysis, multilevel modelling, latent variable modelling and/or longitudinal..."
"


        Citi
",Mathematical Software Developer / Data Scientist,"
This role is for an experienced full-stack mathematical developer / Data Scientist to work on the FxRD iVentures team, part of FxRD Technology...."
"

    Mortimer Spinks (Manchester)
","Modelling, Algorithms, Statistics - Data Scientist - London","
Mathematical Modelling, Algorithms, Analytics, Statistics - Data Analyst/Scientist is required for this outstanding Digital and Data Consultancy based in London..."
"

    Colston Consulting
","Data Scientist, London, £30,000-£40,000","
Are you a recent graduate with a minimum 2 years' commercial experience working as a Data Scientist? Use coding to sale data analysis problems...."
"


        Sainsburys
",Data Scientist - Marketing Innovation,"
Sainsbury’s data, including customer data and transactional data. Curiosity, scepticism and attention to detail regarding data, data quality, samples, bias, etc..."
"

    Skimlinks
",Senior Data Scientist,"
As our Senior Data Scientist your responsibilities will include:. We apply machine learning to this colossal amount of data and we are looking for a Senior Data..."
"


        Sainsburys
",Data Analyst - Marketing Innovation,"
Sainsbury’s data, including customer data and transactional data. Data models, database design development, data mining and segmentation techniques...."
"

    Oliver Bernard
","Python Developer (Python, Machine Learning, DevOps)","
Python Developer (Python, Machine Learning, DevOps) A Python Developer with strong Python, Machine Learning and DevOps experience is required by a FinTech"
"

    Klarna
",Data Scientist - Fraud Data,"
As a Data Scientist here at Klarna, you'll get to build and integrate new variables in our fraud detection systems...."
"

    INSPIRED SEARCH AND SELECTION
",Data Scientist – Journals,"
We are looking for a Data whizz to join our client in a brand new role known as a Data Scientist. Can you turn data into knowledge?..."
"


        NTT Data UK
",Data Scientist,"
NTT DATA UK are hiring a Data Scientist. Conduct sophisticated data mining analyses and build data mining models, as required, as part of the initial solution..."
"

    Xcede Digital
",Data Scientists x4 (Python / Data Science / Spark),"
Data Scientists x 4 (Python / Data Science / Spark) required by my client in central London. Proficiency with Python / R and Data Science stack (e.g...."
"

    EFFECTIVE PERSONNEL SOLUTIONS
",Data Scientist/Analyst,"
To be proficient in advanced data analytics, have experience working with a variety of data sources, and a track record of using analytics to understand and..."
"

    Fresh Minds Talent
",Junior Data Scientist,"
A boutique management consultancy working with global FMCG brands is looking for a Junior Data Scientist to join their high calibre but friendly team...."
"

    Freshminds Talent
",Junior Data Scientist,"
A boutique management consultancy working with global FMCG brands is looking for a Junior Data Scientist to join their high calibre but friendly team...."
"


        BBC
",Senior Data Scientist,"
Management of data sources and reports. You will have a numerical background and ideally several years’ experience of data analysis...."
"


        Vitality
",Data Scientist,"
Job Title | Data Scientist. Leverage new open data sources and extract further value from existing company data...."
"

    Hitachi Consulting UK Limited
",Data Scientist,"
Identify opportunities for how advanced technologies in the data science. Opportunities from their exisiting systems, and to utilise advanced data driven...."
"

    Felcana
",Data Scientist,"
Previous data science experience within a commercial organisation. We’re on the hunt for a Data Scientist to lead the cutting edge predictive modelling and..."
"

    Big Wednesday Digital Ltd
",Data Applications Engineer - Machine Learning - OO/Python/Scala,"
Data Applications Engineer - Machine Learning - (OO/Python/Scala/Big Data) - LOCATED Bangkok, Thailand. Big Data Technologies (E.g.:...."
"

    BCT Resourcing
",Data Scientist - Cetral London,"
R, Python, open source technology, data products, Data Scientist. The new Data Scientist will use machine learning principles alongside open source technology..."
"


        Citi
",Quantitative Analyst,"
Primary Location: United Kingdom,England,London Education: Doctorate Degree Job Function: Trading Schedule: Full-time Shift: Day Job Employee Status: Regular"
"

    Babylon Health
",Bayesian Data Scientist,"
You will be working with highly skilled data science, NLP, data, engineering and product teams to release great products across Babylon...."
"

    Two Sigma Investments, LLC.
","Data Scientist, Insurance Analytics","
Experience with Python data analysis tools (numpy/pandas/scikit-learn) and SQL. Two Sigma’s mission is to discover value in the world’s data...."
"


        Networkers
",Data Scientist - Lab Consultant,"
Initially, we are looking for 3 Data Scientists at Senior Consultant, Manager, and Senior Manager grades. A top 10 strategic management consultancy is building..."
"

    Lloyds UK
",Data Innovation Scientist,"
Technical expertise regarding data models, database design development, data mining and segmentation techniques...."
"


        Wipro Limited
",Data Scientist- Analytics,"
Hands On With Statistical Modeling, Data Prep, Soft Skills, Visualization Experience, Domain, Process Experience, R, Python, SAS, SQL, Data Scientist – BDA,..."
"


        Luxoft
",Big Data Lead Analyst,"
The Lead Data Analyst supports the business and the Big Data Scientist in delivering valuable insights. The Big Data Analyst will have a strong overlap in skill..."
"


        King
",Graduate Data Analyst,"
Have some familiarity with dimensional modelling and building great data warehouse data models. Data modelling and ETL development:...."
"

    Babylon Health
",Data Analyst,"
A data scientist or analyst with experience in statistical and machine learning models, either academic or commercial...."
"


        Imperial College London
",Research Assistant,"
Overall we employ ~50 academic staff members, ~70 postdoctoral research scientists, ~170 PhD students, ~145 MSc students, and ~300 undergraduate students...."
"


        Teradata
",Data Scientist,"
The next step is to have a conversation with one or our leading data scientists, so you can gain a better understanding of the Data Scientist role within..."
"

    Salt Recruitment
",Data Scientist,"
Data Scientist, London. The Data Scientist, duties and key responsibilities:. Our ideal Data Scientist, will have the below skills and experience:...."
"

    Prime Insight
",Data Scientist - IT Services Provider,"
I am looking for Data Scientists to join a leading IT company that services multiple industries. Also Big data technology experience is desirable, such as..."
